income_ID;country_ID;year_ID;age_ID;gender_ID;median_income_MEUR
SI22_A65_F;SI;22;A65;F;13285.0
SI23_A65_F;SI;23;A65;F;14246.0
SI24_A65_F;SI;24;A65;F;15232.0
SK15_A65_F;SK;15;A65;F;6267.0
SK16_A65_F;SK;16;A65;F;6347.0
SK17_A65_F;SK;17;A65;F;6395.0
SK18_A65_F;SK;18;A65;F;6791.0
SK19_A65_F;SK;19;A65;F;7010.0
SK20_A65_F;SK;20;A65;F;7603.0
SK21_A65_F;SK;21;A65;F;7933.0
SK22_A65_F;SK;22;A65;F;8606.0
SK23_A65_F;SK;23;A65;F;9146.0
SK24_A65_F;SK;24;A65;F;10478.0
FI15_A65_F;FI;15;A65;F;19017.0
FI16_A65_F;FI;16;A65;F;19400.0
FI17_A65_F;FI;17;A65;F;19631.0
FI18_A65_F;FI;18;A65;F;19773.0
FI19_A65_F;FI;19;A65;F;20016.0
FI20_A65_F;FI;20;A65;F;20266.0
FI21_A65_F;FI;21;A65;F;20168.0
FI22_A65_F;FI;22;A65;F;20544.0
FI23_A65_F;FI;23;A65;F;21693.0
FI24_A65_F;FI;24;A65;F;23644.0
SE15_A65_F;SE;15;A65;F;19187.0
SE16_A65_F;SE;16;A65;F;18708.0
SE17_A65_F;SE;17;A65;F;19398.0
SE18_A65_F;SE;18;A65;F;19794.0
SE19_A65_F;SE;19;A65;F;19106.0
SE20_A65_F;SE;20;A65;F;19025.0
SE21_A65_F;SE;21;A65;F;20501.0
SE22_A65_F;SE;22;A65;F;21057.0
SE23_A65_F;SE;23;A65;F;21716.0
SE24_A65_F;SE;24;A65;F;22390.0
EU15_A65_M;EU;15;A65;M;15941.0
EU16_A65_M;EU;16;A65;M;16069.0
EU17_A65_M;EU;17;A65;M;16416.0
EU18_A65_M;EU;18;A65;M;16839.0
EU19_A65_M;EU;19;A65;M;17162.0
EU20_A65_M;EU;20;A65;M;17776.0
EU21_A65_M;EU;21;A65;M;18062.0
EU22_A65_M;EU;22;A65;M;18404.0
EU23_A65_M;EU;23;A65;M;19542.0
EU24_A65_M;EU;24;A65;M;20946.0
BE15_A65_M;BE;15;A65;M;18773.0
BE16_A65_M;BE;16;A65;M;18720.0
BE17_A65_M;BE;17;A65;M;19490.0
BE18_A65_M;BE;18;A65;M;20210.0
BE19_A65_M;BE;19;A65;M;20756.0
BE20_A65_M;BE;20;A65;M;20896.0
BE21_A65_M;BE;21;A65;M;21613.0
BE22_A65_M;BE;22;A65;M;22340.0
BE23_A65_M;BE;23;A65;M;23731.0
BE24_A65_M;BE;24;A65;M;25590.0
BG15_A65_M;BG;15;A65;M;2833.0
BG16_A65_M;BG;16;A65;M;2906.0
BG17_A65_M;BG;17;A65;M;3041.0
BG18_A65_M;BG;18;A65;M;3184.0
BG19_A65_M;BG;19;A65;M;3409.0
BG20_A65_M;BG;20;A65;M;3661.0
BG21_A65_M;BG;21;A65;M;4404.0
